"Date","OPEN","High","Low","CLOSE","Volume"
"2020-01-02","3.4","3.42","3.37","3.41","39038"
"2020-01-03","3.41","3.42","3.39","3.41","19815"
"2020-01-06","3.4","3.45","3.39","3.43","24223"
"2020-01-07","3.43","3.6","3.42","3.54","74944"
"2020-01-08","3.51","3.56","3.48","3.51","32010"
"2020-01-09","3.51","3.69","3.51","3.69","73371"
"2020-01-10","3.73","3.87","3.72","3.87","132441"
"2020-01-13","3.96","3.97","3.68","3.68","110112"
"2020-01-14","3.67","3.68","3.57","3.59","46413"
"2020-01-15","3.57","3.69","3.57","3.64","27538"
"2020-01-16","3.62","3.8","3.61","3.72","42807"
"2020-01-17","3.72","3.78","3.64","3.66","32039"
"2020-01-20","3.63","3.74","3.6","3.68","23800"
"2020-01-21","3.72","3.74","3.64","3.66","24128"
"2020-01-22","3.63","3.66","3.6","3.62","20345"
"2020-01-23","3.63","3.77","3.5","3.71","37602"
"2020-02-03","3.52","3.56","3.52","3.52","16011"
"2020-02-04","3.34","3.48","3.34","3.36","59424"
"2020-02-05","3.4","3.44","3.31","3.39","35819"
"2020-02-06","3.37","3.42","3.33","3.39","35484"
"2020-02-07","3.39","3.41","3.36","3.41","20900"
"2020-02-10","3.4","3.45","3.38","3.43","24030"
"2020-02-11","3.44","3.48","3.41","3.43","23927"
"2020-02-12","3.41","3.44","3.38","3.43","26576"
"2020-02-13","3.42","3.43","3.37","3.4","18032"
"2020-02-14","3.37","3.4","3.37","3.4","14997"
"2020-02-17","3.38","3.48","3.37","3.47","49573"
"2020-02-18","3.48","3.64","3.48","3.64","73586"
"2020-02-19","3.62","3.62","3.56","3.58","36922"
"2020-02-20","3.6","3.69","3.58","3.68","39688"
"2020-02-21","3.67","3.7","3.62","3.66","22609"
"2020-02-24","3.66","3.66","3.6","3.62","21765"
"2020-02-25","3.59","3.59","3.46","3.52","43762"
"2020-02-26","3.5","3.57","3.47","3.51","31410"
"2020-02-27","3.51","3.6","3.51","3.57","29126"
"2020-02-28","3.51","3.55","3.43","3.46","37899"
"2020-03-02","3.46","3.59","3.45","3.57","32940"
"2020-03-03","3.58","3.65","3.57","3.59","32707"
"2020-03-04","3.58","3.69","3.56","3.69","44689"
"2020-03-05","3.74","3.76","3.64","3.66","40274"
"2020-03-06","3.63","3.72","3.63","3.69","36989"
"2020-03-09","3.63","3.65","3.52","3.56","37645"
"2020-03-10","3.56","3.61","3.48","3.6","30052"
"2020-03-11","3.59","3.68","3.58","3.6","31857"
"2020-03-12","3.55","3.59","3.52","3.56","25076"
"2020-03-13","3.42","3.55","3.4","3.49","39000"
"2020-03-16","3.5","3.53","3.41","3.45","30434"
"2020-03-17","3.45","3.5","3.36","3.49","26030"
"2020-03-18","3.51","3.52","3.39","3.39","23515"
"2020-03-19","3.39","3.45","3.34","3.43","21311"
